iter	RMSE
0	25.70580423
1	24.40168125
2	23.21792749
3	22.14116691
4	21.16906645
5	20.28774537
6	19.49268022
7	18.77859249
8	18.13796405
9	17.56411179
10	17.05060765
11	16.59336961
12	16.1867749
13	15.82506806
14	15.50541826
15	15.2236449
16	14.97569584
17	14.75622523
18	14.56404894
19	14.39499911
20	14.24644882
21	14.11688714
22	14.00219147
23	13.90145794
24	13.81378271
25	13.73713223
26	13.67023734
27	13.61158496
28	13.56033433
29	13.51593276
30	13.47713753
31	13.44303763
32	13.41161565
33	13.38590595
34	13.36236799
35	13.34195977
36	13.32434765
37	13.30887574
38	13.29448171
39	13.2822862
40	13.27158962
41	13.26234981
42	13.25373501
43	13.24553736
44	13.23892474
45	13.23278643
46	13.22745387
47	13.22224498
48	13.21794179
49	13.21391516
50	13.21029618
51	13.20667457
52	13.20369488
53	13.20096459
54	13.19819092
55	13.19587703
56	13.19390578
57	13.19171611
58	13.18886133
59	13.18705702
60	13.1854348
61	13.18400119
62	13.182584
63	13.18112577
64	13.17988652
65	13.17862662
66	13.1772236
67	13.1761592
68	13.17513865
69	13.1725801
70	13.17146624
71	13.17044706
72	13.16923318
73	13.16840357
74	13.16758688
75	13.16672474
76	13.16478442
77	13.16392406
78	13.16277958
79	13.16164289
80	13.16084856
81	13.15980742
82	13.15818465
83	13.15728403
84	13.15645454
85	13.15575809
86	13.15492426
87	13.1540706
88	13.15279316
89	13.15162645
90	13.15065647
91	13.14990592
92	13.1491151
93	13.1479899
94	13.14741602
95	13.14658519
96	13.14576042
97	13.14513482
98	13.14455679
99	13.14394639
100	13.14320159
101	13.14264947
102	13.14195347
103	13.14084995
104	13.13991097
105	13.13904996
106	13.13826094
107	13.13788525
108	13.1372309
109	13.13652013
110	13.1357268
111	13.1347081
112	13.13413103
113	13.13348266
114	13.13264161
115	13.13212714
116	13.13164167
117	13.13079731
118	13.1301416
119	13.12963032
120	13.12915961
121	13.12845507
122	13.12786386
123	13.12731229
124	13.12674519
125	13.12612197
126	13.12553623
127	13.12502882
128	13.12374909
129	13.12304745
130	13.12253661
131	13.12201413
132	13.12138019
133	13.1205613
134	13.12004933
135	13.11935405
136	13.11887474
137	13.11835911
138	13.11779826
139	13.11715478
140	13.11673868
141	13.11624056
142	13.1157086
143	13.11508355
144	13.11452182
145	13.11414831
146	13.11336156
147	13.11286698
148	13.11236
149	13.1119919
150	13.11145921
151	13.11083434
152	13.1105379
153	13.1100195
154	13.10942081
155	13.10895994
156	13.10824784
157	13.10778921
158	13.10743914
159	13.10684733
160	13.10624
161	13.10575089
162	13.10526525
163	13.10481709
164	13.10425221
165	13.10371939
166	13.10320834
167	13.10250639
168	13.10208192
169	13.10164065
170	13.10122781
171	13.10074151
172	13.10028828
173	13.09965561
174	13.09937486
175	13.09902427
176	13.09848573
177	13.09799385
178	13.09745868
179	13.09666826
180	13.09607164
181	13.09554972
182	13.09519175
183	13.09484184
184	13.09443613
185	13.09405215
186	13.09359939
187	13.09320729
188	13.09272021
189	13.09228656
190	13.09191822
191	13.09160176
192	13.0911625
193	13.09068483
194	13.09023319
195	13.08994423
196	13.0894083
197	13.08894929
198	13.08851064
199	13.08814477
200	13.08772224
201	13.08733813
202	13.08690743
203	13.08659855
204	13.08556822
205	13.08479737
206	13.08441691
207	13.08402452
208	13.08366903
209	13.08306262
210	13.08271911
211	13.08226001
212	13.08172554
213	13.08131723
214	13.08068014
215	13.07991264
216	13.07956347
217	13.07912942
218	13.07871114
219	13.07827933
220	13.07783462
221	13.07747939
222	13.07725213
223	13.07694709
224	13.07647461
225	13.07604064
226	13.07571154
227	13.07532095
228	13.07467655
229	13.07434973
230	13.07377647
231	13.07350373
232	13.07317904
233	13.07288657
234	13.07250379
235	13.07206076
236	13.07168808
237	13.07125554
238	13.07078469
239	13.07016971
240	13.06979082
241	13.06935166
242	13.06907833
243	13.06854615
244	13.06791907
245	13.06748547
246	13.06721827
247	13.06682091
248	13.06616195
249	13.065698
250	13.06536569
251	13.06497739
252	13.06450412
253	13.06399996
254	13.06366524
255	13.06332311
256	13.06289299
257	13.06244054
258	13.06215376
259	13.06173468
260	13.06137683
261	13.06100767
262	13.06071825
263	13.06037173
264	13.06007059
265	13.05970441
266	13.05938297
267	13.05905002
268	13.05875124
269	13.05836817
270	13.05772812
271	13.05738505
272	13.05697341
273	13.05662894
274	13.05618834
275	13.05585581
276	13.05537826
277	13.05508225
278	13.05469702
279	13.05435137
280	13.05399575
281	13.05341248
282	13.05320145
283	13.05285336
284	13.0524709
285	13.05206372
286	13.05161034
287	13.05125995
288	13.05095396
289	13.05044521
290	13.0501549
291	13.04958369
292	13.04895037
293	13.04867045
294	13.04828586
295	13.04784553
296	13.04754208
297	13.04713202
298	13.04668403
299	13.04609811
300	13.04577523
301	13.04544569
302	13.04519818
303	13.0448318
304	13.04429171
305	13.04376339
306	13.04351945
307	13.04306421
308	13.04271723
309	13.04221093
310	13.04184386
311	13.04153411
312	13.04120702
313	13.04086062
314	13.04063179
315	13.04035495
316	13.04001822
317	13.03955115
318	13.03901188
319	13.03861336
320	13.03835254
321	13.03798901
322	13.03764482
323	13.03733444
324	13.03685198
325	13.03632769
326	13.03592512
327	13.03562196
328	13.0352518
329	13.03492874
330	13.0346734
331	13.0343669
332	13.03404907
333	13.03348051
334	13.03316602
335	13.03285973
336	13.03252738
337	13.03221262
338	13.03171542
339	13.03119544
340	13.03078817
341	13.03045844
342	13.02993358
343	13.02962331
344	13.02924233
345	13.02895377
346	13.02849843
347	13.02829735
348	13.02805356
349	13.02778619
350	13.02739722
351	13.02715354
352	13.02682727
353	13.0265825
354	13.02624317
355	13.02575687
356	13.02541012
357	13.02502194
358	13.02470238
359	13.02444124
360	13.02405253
361	13.0237187
362	13.02341678
363	13.02305907
364	13.02268729
365	13.02231396
366	13.02196926
367	13.02169776
368	13.02126531
369	13.0209562
370	13.02069499
371	13.02041181
372	13.02012697
373	13.0198444
374	13.01941012
375	13.01883057
376	13.0185598
377	13.01825775
378	13.0180156
379	13.01765806
380	13.01734178
381	13.01703578
382	13.01672445
383	13.01643161
384	13.01611378
385	13.01586574
386	13.01553563
387	13.01518543
388	13.01481256
389	13.01453798
390	13.01428599
391	13.0139986
392	13.01353342
393	13.01306763
394	13.01274192
395	13.0125316
396	13.01220593
397	13.01193443
398	13.01162739
399	13.01131292
400	13.01099847
401	13.01041554
402	13.00976024
403	13.00928664
404	13.00887503
405	13.00864296
406	13.00830435
407	13.00797396
408	13.00774464
409	13.00732652
410	13.00675466
411	13.00648915
412	13.00622858
413	13.00575509
414	13.0055058
415	13.00525586
416	13.0048867
417	13.00452644
418	13.00422589
419	13.00396341
420	13.00366682
421	13.00344824
422	13.00307678
423	13.0027765
424	13.0026023
425	13.00226325
426	13.00204715
427	13.00167703
428	13.00143951
429	13.00121549
430	13.00065835
431	13.00032454
432	12.99991917
433	12.99969156
434	12.99937186
435	12.99905994
436	12.99859626
437	12.99829597
438	12.99803937
439	12.99773599
440	12.9974994
441	12.99717805
442	12.99671894
443	12.9963872
444	12.99606055
445	12.99582869
446	12.99550443
447	12.99521367
448	12.99486658
449	12.9946059
450	12.99433506
451	12.99401412
452	12.99369433
453	12.99345318
454	12.99320203
455	12.99278923
456	12.99248902
457	12.99224712
458	12.99187044
459	12.9915818
460	12.99128004
461	12.99088932
462	12.99060462
463	12.99031599
464	12.99004054
